"filename", "language", "TOML", "JSON", "Markdown", "Luau", "comment", "blank", "total"
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Currency.lua", "Luau", 0, 0, 0, -35, -8, -19, -62
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Data\DataTemplate.lua", "Luau", 0, 0, 0, -92, -25, -15, -132
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Data\ProfileService.lua", "Luau", 0, 0, 0, -1979, -178, -302, -2459
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Data\init.lua", "Luau", 0, 0, 0, -170, -25, -61, -256
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Dependencies\CameraShaker\CameraShakeInstance.lua", "Luau", 0, 0, 0, -113, -5, -30, -148
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Dependencies\CameraShaker\CameraShakePresets.lua", "Luau", 0, 0, 0, -61, -19, -14, -94
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Dependencies\CameraShaker\init.lua", "Luau", 0, 0, 0, -140, -12, -46, -198
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\GoodSignal.lua", "Luau", 0, 0, 0, -105, -58, -18, -181
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Satellite\Client.lua", "Luau", 0, 0, 0, -69, -7, -25, -101
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Satellite\Server.lua", "Luau", 0, 0, 0, -84, -7, -29, -120
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Satellite\init.lua", "Luau", 0, 0, 0, -22, -3, -11, -36
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui\Components\init.lua", "Luau", 0, 0, 0, 0, 0, -1, -1
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui\Presets\Minima.lua", "Luau", 0, 0, 0, -119, 0, -35, -154
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui\Presets\Taika.lua", "Luau", 0, 0, 0, -84, 0, -26, -110
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui\Presets\init.lua", "Luau", 0, 0, 0, -4, 0, -2, -6
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui\_state.lua", "Luau", 0, 0, 0, -21, -5, -10, -36
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\TaikaGui\init.lua", "Luau", 0, 0, 0, -1162, -96, -236, -1494
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Types.lua", "Luau", 0, 0, 0, -3, 0, -1, -4
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\anim.lua", "Luau", 0, 0, 0, -10, -2, -6, -18
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\ayano.lua", "Luau", 0, 0, 0, -184, -9, -23, -216
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\basepart.lua", "Luau", 0, 0, 0, -53, -3, -11, -67
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\camerashake.lua", "Luau", 0, 0, 0, -52, -10, -18, -80
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\gui.lua", "Luau", 0, 0, 0, -14, -3, -9, -26
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\hitbox.lua", "Luau", 0, 0, 0, -154, -8, -25, -187
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\init.lua", "Luau", 0, 0, 0, -18, -1, -1, -20
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\loader.lua", "Luau", 0, 0, 0, -32, -4, -13, -49
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\log.lua", "Luau", 0, 0, 0, -109, -3, -27, -139
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\num\format\init.lua", "Luau", 0, 0, 0, -42, -2, -16, -60
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\num\init.lua", "Luau", 0, 0, 0, -7, -1, -4, -12
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\num\tween\init.lua", "Luau", 0, 0, 0, -42, -4, -20, -66
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\players.lua", "Luau", 0, 0, 0, -30, -3, -15, -48
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\property.lua", "Luau", 0, 0, 0, -54, -4, -9, -67
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\reference.lua", "Luau", 0, 0, 0, -34, -2, -8, -44
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\sound.lua", "Luau", 0, 0, 0, -20, -3, -8, -31
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\stopwatch.lua", "Luau", 0, 0, 0, -12, -1, -7, -20
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\table.lua", "Luau", 0, 0, 0, -50, -3, -18, -71
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\uis.lua", "Luau", 0, 0, 0, -18, -4, -7, -29
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vacuum[retired].lua", "Luau", 0, 0, 0, -52, -8, -26, -86
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\init.lua", "Luau", 0, 0, 0, -127, -5, -17, -149
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\rubble\init.lua", "Luau", 0, 0, 0, -156, -19, -18, -193
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\rubble\presets.lua", "Luau", 0, 0, 0, -78, -5, -5, -88
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\Utils\vfx\rubble\types.lua", "Luau", 0, 0, 0, -24, -1, -4, -29
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\init.lua", "Luau", 0, 0, 0, -16, -1, -7, -24
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\_Index\rakkenti_rbxlib@0.1.42\rbxlib\wally.toml", "TOML", -7, 0, 0, 0, 0, 0, -7
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\Packages\rbxlib.lua", "Luau", 0, 0, 0, -1, 0, -1, -2
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\README.md", "Markdown", 0, 0, -5, 0, 0, -2, -7
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\aftman.toml", "TOML", -4, 0, 0, 0, -3, -1, -8
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\default.project.json", "JSON", 0, -50, 0, 0, 0, -8, -58
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\selene.toml", "TOML", -1, 0, 0, 0, 0, 0, -1
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\sourcemap.json", "JSON", 0, -1, 0, 0, 0, 0, -1
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\readme.server.lua", "Luau", 0, 0, 0, 0, -8, -1, -9
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\wally.toml", "TOML", -7, 0, 0, 0, 0, -1, -8
"Total", "-", -19, -51, -5, -5652, -568, -1217, -7512