"filename", "language", "Luau", "comment", "blank", "total"
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\AssetConfig.lua", "Luau", 7, 3, 5, 15
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\Attack\TitanConfig.lua", "Luau", 156, 2, 7, 165
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\Attack\init.lua", "Luau", 1167, 67, 89, 1323
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\Jaw\TitanConfig.lua", "Luau", 146, 2, 8, 156
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\Jaw\init.lua", "Luau", 1343, 62, 104, 1509
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\Warhammer\TitanConfig.lua", "Luau", 153, 2, 7, 162
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\Warhammer\init.lua", "Luau", 953, 59, 83, 1095
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\genericreplicator.lua", "Luau", 26, 9, 13, 48
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Client\init.lua", "Luau", 59, 7, 12, 78
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Server\Attack.lua", "Luau", 271, 17, 34, 322
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Server\Jaw.lua", "Luau", 350, 17, 43, 410
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Server\Warhammer.lua", "Luau", 278, 18, 35, 331
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Server\init.lua", "Luau", 10, 3, 6, 19
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Server\sharedfunctions.lua", "Luau", 52, 9, 14, 75
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\Types.lua", "Luau", 56, 0, 4, 60
"c:\Users\Mark Martinez\Documents\GitHub\InvasionShifters\src\ReplicatedStorage\Shifter\init.lua", "Luau", 324, 23, 39, 386
"Total", "-", 5351, 300, 503, 6154